Reach,Box,Species,Activity,Focal_velocity,Length,Pct_depth
SM1,6,Rainbow,Foraging,0.11,40,90
SM1,3,Rainbow,Foraging,0.09,35,90
SM1,1,Bull trout,Resting,,60,100
SM1,4,Rainbow,Foraging,0.17,50,40
SM1,7,Rainbow,Foraging,0.41,60,90
SM1,6,Rainbow,Foraging,0.15,55,90
SM1-2,7,Rainbow,Foraging,0.42,50,90
SM1-2,3,Rainbow,Foraging,0.16,30,90
SM1-2,3,Rainbow,Foraging,0.16,30,90
SM1-2,3,Rainbow,Foraging,0.19,45,100
SM1-2,3,Rainbow,Foraging,0.19,45,100
SK2,2,Rainbow,Foraging,0.02,40,90
SK2,6,Rainbow,Foraging,0.17,50,100
SM2,6,Rainbow,Foraging,0.28,60,90
SM2,2,Rainbow,Foraging,0.32,55,90
SM2,3,Rainbow,Foraging,0,30,60
SM2,1,Rainbow,Foraging,0,30,60
SM2,3,Rainbow,Foraging,0,35,60
SM2,1,Rainbow,Foraging,0,35,60